judul,sumber,tanggal,episode,label_leksikon,label_audit
Dampak Buruk Ekspor Pasir Laut: Merusak Lingkungan dan Ancaman Bagi Nelayan,Mongabay.co.id,2024-12-03 08:00:00,E3_ekspor_dibuka,menolak,
"Soal Ekspor Pasir Laut, WALHI: Ladang Bisnis Berkedok Scientific",Tribunnews.com,2023-06-02 07:00:00,E1_pp_disahkan,menolak,
KKP Hentikan Penambangan Pasir PT Logomas Utama di Pulau Rupat,Riau Online,2022-02-14 08:00:00,E0_sebelum_pp,netral,
"Jokowi Bilang hanya Sedimen, Anggota DPR Gerindra Ahmad Muzani Minta Ekspor Pasir Laut Ditunda",harian fajar,2024-09-22 07:00:00,E3_ekspor_dibuka,menolak,
"Video Dugaan Pencurian Pasir Laut Beredar, Polres Loteng Turun Cek Lapangan",SUARANTB.com,2025-01-16 08:00:00,E3_ekspor_dibuka,netral,
Menteri Trenggono Minta Reklamasi PIK Pakai Sedimentasi Laut,Kompas.com,2024-04-29 07:00:00,E2_aturan_persiapan,netral,
Warga Was-was Ekspor Pasir Laut Perparah Abrasi Pantura Jawa,Mongabay.co.id,2024-11-07 08:00:00,E3_ekspor_dibuka,menolak,
KKP Catat Ada 66 Perusahaan Antre Urus Izin Pemanfaatan Pasir Laut,kontan.co.id,2024-09-16 07:00:00,E3_ekspor_dibuka,netral,
"Ekspor Pasir Laut Dibuka yang Mengalir Sampai Jauh untuk Kepentingan Ekologis, Pakar: 'Penambangan Lebih Besar Mudarat Ketimbang Manfaatnya'",RiauPagi.com,2026-07-10 07:00:00,E4_pasca_putusan_ma,menolak,
"Dr Tasrif SH MH : Putusan MA Terkait Sedimentasi Laut Sesuai Astacita Prabowo, KKP Harus Melaksanakannya",Kabarindoraya.com,2025-09-27 07:00:00,E4_pasca_putusan_ma,netral,
Kades Numbing Buka Suara Soal Proyek Pasir Laut,Harian Kepri,2026-05-28 07:00:00,E4_pasca_putusan_ma,netral,
"Legalkan Ekspor Pasir Laut, Jokowi Diprotes Banyak Pihak",inibaru.id,2024-09-18 07:00:00,E3_ekspor_dibuka,menolak,
Sinyal Bahaya Menjarah Pasir Laut,Tempo.co,2023-05-31 07:00:00,E1_pp_disahkan,menolak,
Konsep APPL Lebih Matang Dibanding KKP Untuk Pemanfaatan Sedimentasi Pasir Laut,Cerinews.id,2023-06-07 07:00:00,E1_pp_disahkan,netral,
"Ekspor pasir kembali dibuka, bagaimana nasib masyarakat rentan di daerah pesisir?",The Conversation,2023-07-10 07:00:00,E1_pp_disahkan,netral,
Ini Rencana Mega Proyek Singapura yang Akan Butuhkan Pasir Laut Indonesia,Tempo.co,2024-10-05 07:00:00,E3_ekspor_dibuka,netral,
Tambang Pasir Laut dan Reklamasi Daratan Singapura,betahita.id,2023-06-15 07:00:00,E1_pp_disahkan,netral,
Nelayan Khawatir Dampak Lingkungan Tambang Pasir Laut,Kompas.id,2023-05-30 07:00:00,E1_pp_disahkan,menolak,
Zulhas Akhirnya Buka Suara soal Alasan Izinkan Ekspor Pasir Laut,CNN Indonesia,2024-09-23 07:00:00,E3_ekspor_dibuka,netral,
Kapal Asing Raksasa Penyedot Pasir Laut Ditangkap di Batam,CNN Indonesia,2024-10-11 07:00:00,E3_ekspor_dibuka,netral,
Sederet Dampak Buruk Penambangan Pasir Laut Terhadap Lingkungan - Sukabumi Update,Sukabumi Update,2023-06-14 07:00:00,E1_pp_disahkan,menolak,
Kapal Asing Penyedot Pasir Laut Ilegal di Batam Diduga Lepas,CNN Indonesia,2024-11-08 08:00:00,E3_ekspor_dibuka,netral,
Jokowi Membuka Keran Dagang Pasir Laut,Tempo.co,2024-09-19 07:00:00,E3_ekspor_dibuka,netral,
"Masyarakat Pesisir Demak Tolak Penambangan Pasir Laut di Morodemak: Banyak Desa Tenggelam, Warga Terpaksa Pindah",Tempo.co,2023-06-27 07:00:00,E1_pp_disahkan,menolak,
Ekspor Pasir Laut: Kerugian Ekologi hingga Polemik Mengenai Sedimentasi,Tempo.co,2024-10-03 07:00:00,E3_ekspor_dibuka,menolak,
